"id","father","mother","age","sexe","career"
"41qe3","NRj0","36nf7",0,"F",0
"41zc1","NRj0","36vg5",0,"F",0
"41es6","NRp5","34jf8",0,"F",0
"41pe1","NRj0","35cx8",0,"F",0
"40qf4","NRj0","36jb7",1,"F",1
"40ke2","NRp5","36yq8",1,"F",1
"40sr7","NRj0","38yf8",1,"F",1
"40vy7","NRp5","37up4",1,"F",1
"40ef7","NRp5","32pd4",1,"F",1
"39xv5","NRj0","31qz1",2,"F",2
"39np8","NRp5","33fx8",2,"F",2
"39lk9","NRp5","35qk9",2,"F",2
"39jc9","NRj0","31ml2",2,"F",2
"39co1","NRj0","32mm9",2,"F",2
"39br8","NRj0","37nd5",2,"F",2
"38yk6","NRj0","33pa3",3,"F",3
"38yf8","NRj0","32oy3",3,"F",3
"38qo8","NRp5","30bp5",3,"F",3
"38nz6","NRj0","35xv3",3,"F",3
"37yk2","NRl3","34mh7",4,"F",4
"37nd5","NRh1","35cx8",4,"F",4
"37ri6","NRl3","29ah0",4,"F",4
"37lk5","NRl3","31ml2",4,"F",4
"37up4","NRh1","30xd3",4,"F",4
"37lg9","NRl3","30py8",4,"F",4
"37ip6","NRh1","31wr3",4,"F",4
"37ko1","NRh1","33pa3",4,"F",4
"36td1","NRl3","29ud8",5,"F",5
"36jb7","NRl3","33pa3",5,"F",5
"36vg5","NRh1","31bk1",5,"F",5
"36yq8","NRh1","31wh3",5,"F",5
"36nf7","NRl3","33rr8",5,"F",5
"35rh1","NRh1","27io1",6,"F",6
"35cx8","NRh1","31ml2",6,"F",6
"35xv3","NRh1","31qz1",6,"F",6
"35ip2","NRh1","28mx8",6,"F",6
"35qk9","NRh1","29ws7",6,"F",6
"34gh9","NRl3","31qz1",7,"F",7
"34mh7","NRh1","28ps3",7,"F",7
"34jf8","NRh1","30py8",7,"F",7
"NRi9","RFl5","RMs8",5,"M",0
"NRp0","RFa9","RMk7",3,"M",0
